Categoría,Subcategoría,Solución / Empresa,Convocatoria Postulación,Período Verificación Técnica,Fecha Publicación Web,Fecha Testimonio Validación,URL Ficha INIA,URL Reporte Verificación (PDF),URL Informe Detallado Extendido (PDF),URL Testimonio Validación,Tipo Testimonio,URL Ficha Gráfica,URL Sitio Web Oficial
Vegetal Extensivo,Agricultura De Precisión,AgriTechnovation,Abril 2024,Setiembre 2024 a Febrero 2025,2025-02-21,2025-03-10,https://inia.uy/Converge/Vegetal-extensivo/Agricultura-de-precisión/Agritechnovation,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agritechnovation/Reporte_Agri_Technovation.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agritechnovation/Informe%20Agri%20Technovation.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agritechnovation/Videotestimonio_AgriTechnovation.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agritechnovation/AgriTechnovation_Ficha.png,https://agritechnovation.lat/
Vegetal Extensivo,Agricultura De Precisión,Agroyeitos,Abril 2024,Septiembre 2024 a Febrero 2025 (Zafra 2023-2024),2025-03-10,2025-05-06,https://inia.uy/Converge/Vegetal-extensivo/Agricultura-de-precisión/Agroyeitos,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agroyeitos/Reporte%20Agroyeitos.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agroyeitos/Informe%20Agroyeitos.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agroyeitos/Videotestimonio_Agroyeitos.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Agroyeitos/AgroyeitosFichaWeb.png,https://www.danielmelo.com.uy/
Vegetal Extensivo,Agricultura De Precisión,Auravant,Abril 2024,Septiembre 2024 a Febrero 2025,2025-02-04,2026-01-19,https://inia.uy/Converge/vegetal-extensivo/agricultura-de-precisión/Auravant,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Auravant/Reporte_Auravant.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Auravant/Informe%20Auravant.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Auravant/Testimonio_Auravant.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Auravant/AuravantFichaWeb.png,https://www.auravant.com/
Vegetal Extensivo,Agricultura De Precisión,Smartway,Abril 2024,Octubre 2024 a Enero 2025,2025-03-21,2026-01-19,https://inia.uy/Converge/vegetal-extensivo/agricultura-de-precisión/Smartway,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Smartway/Reporte_Smartway.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Smartway/Informe_Smartway.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Smartway/Testimonio_Smartway.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Smartway/Smartway_ficha_web.png,https://www.onsmartway.com/agro/
Vegetal Extensivo,Agricultura De Precisión,Ucrop.it,Abril 2024,Enero a Mayo 2025 (Zafra 2024),2025-08-19,2026-01-19,https://inia.uy/Converge/vegetal-extensivo/agricultura-de-precisión/Ucrop.it,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Ucrop.it/Reporte%20Ucropit.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Ucrop.it/Informe%20Ucropit.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Ucrop.it/Testimonio%20ucropit.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Ucrop.it/FichaWebUcropit.png,https://ucrop.it/es/inicio/
Vegetal Extensivo,Forestal,CompassForest,Abril 2024,Noviembre 2024 (Ensayos en Cerro Colorado),2025-02-04,2026-01-19,https://inia.uy/Converge/vegetal-extensivo/forestal/Compassforest,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/CompassForest/Reporte%20CompassForest.pdf,,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/CompassForest/TestimonioPabloCooper.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/CompassForest/CompassForestFichaWeb.png,https://compassforest.com/
Vegetal Extensivo,Arroz,Oryzativa,Abril 2024,Zafras de Arroz 2022 a 2024,2025-02-04,2025-02-04,https://inia.uy/Converge/vegetal-extensivo/arroz/Oryzativa,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Oryzativa/Reporte%20Oryzativa.pdf,http://www.ainfo.inia.uy/digital/bitstream/item/17618/1/st-267-2023.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Oryzativa/VideoOryzativa.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Oryzativa/OryzativaFichaWeb.png,https://www.oryzativa.com/
Vegetal Extensivo,Monitoreo Fitosanitario,BioGuardians,Abril 2024,Campañas agrícolas 2024–2025,2026-09-09,2026-09-09,https://inia.uy/Converge/vegetal-extensivo/monitoreo-fitosanitario/BioGuardians,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/BioGuardians/Reporte_BioGuardians%20.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/BioGuardians/Informe_BioGuardians.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/BioGuardians/Testimonio_Bioguardians.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/BioGuardians/BioGuardians_FichaWeb.png,https://www.bioguardiansuy.com/
Vegetal Extensivo,Control De Aplicaciones,DeepAgro,Septiembre 2023,Febrero a Julio 2025 (Barbecho en 5 chacras),2025-09-10,2025-11-05,https://www.inia.uy/Converge/vegetal-extensivo/control-de-aplicaciones/Deepagro,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/DeepAgro/Reporte%20DeepAgro.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/DeepAgro/Informe%20DeepAgro.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/DeepAgro/VideoValidacionDeepAgro.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/DeepAgro/Ficha%20Web%20DeepAgro.png,https://www.deepagro.com/es/
Producción Animal,Ganadería,Baqueano,Abril 2024,Diciembre 2024 (Ensayos campo set-oct 2024),2025-02-04,2025-02-04,https://inia.uy/Converge/Producción-animal/Ganadería/Baqueano,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Baqueano/Reporte_Baqueano.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Baqueano/Informe_Baqueano.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Baqueano/VideoBaqueano.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Baqueano/BaqueanoFichaWeb.png,https://www.baqueano.com.uy/
Producción Animal,Ganadería,Cattler,Octubre 2024,Abril 2025 (Jornada técnica en feedlot),2025-05-23,2025-05-23,https://inia.uy/Converge/Producción-animal/Ganadería/Cattler,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Cattler/Reporte_Cattler.pdf,,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Cattler/VideoCattler.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Cattler/CattlerFichaWeb.png,https://www.cattler.com.ar/
Producción Animal,Ganadería,Insights,Octubre 2024,Abril a Agosto 2025 (Sede INIA Glencoe),2025-11-28,2026-01-19,https://inia.uy/Converge/Producción-animal/Ganadería/Insights,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Insights/Reporte_Insights.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Insights/Informe_Insights.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Insights/Testimonio_Insights.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Insights/Ficha_web_Insights.png,https://insightsit.com/
Producción Animal,Ganadería,Pastech,Octubre 2024,Mayo a Octubre 2025,2026-01-22,2026-01-22,https://inia.uy/Converge/Producción-animal/Ganadería/Pastech,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Pastech/Reporte%20Pastech.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Pastech/Informe%20Pastech.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Pastech/Testimonio%20Pastech.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Pastech/PastechFichaWeb.png,https://pastech.com.ar/
